"Name","Location","Price","Currency","Rating"
"Marina Alsalaam","Dammam",140,"SAR","6.5"
"Open ApartHotel","Dammam",180,"SAR","5.5"
"Aros Al Faisaliah Furnished Units","Dammam",224,"SAR","7.7"
"Morjan Chalets Families Only","Dammam",594,"SAR","7.1"
"Khaleej ALez Furnished Units","Dammam",166,"SAR","6.8"
"Golden Vision Hotel","Dammam",300,"SAR","8.2"
"layale Alnile","Dammam",160,"SAR","6.6"
"Watheer Hotel Suite","Dammam",275,"SAR","7.1"
"Lamssat El saada","Dammam",189,"SAR","8.3"
"Gulf Delmon","Dammam",220,"SAR","7.9"
"Al Qimah Apartments","Dammam",109,"SAR","5.0"
"Golden Tulip Dammam Corniche Hotel","Dammam",300,"SAR","7.6"
"Braira Dammam Hotel","Dammam",551,"SAR","8.9"
"Holiday Furnished Units","Dammam",150,"SAR","7.1"
"Tripper Inn","Dammam",304,"SAR","9.0"
"Ghosn Al Banafsej Hotel Suites","Dammam",155,"SAR","7.4"
"DALLA House Suites","Dammam",245,"SAR","6.4"
"Inwan Residential Units","Dammam",150,"SAR","6.1"
"Wyndham Garden Dammam","Dammam",320,"SAR","8.4"
"Ramada by Wyndham Dammam Khaleej Road","Dammam",210,"SAR","6.9"
"Q Economy Rooms","Dammam",90,"SAR","6.3"
"TIME Dammam Residence","Dammam",250,"SAR","7.9"
"Novotel Dammam Business Park","Dammam",340,"SAR","7.9"
"Swiss International Al Hamra Hotel","Dammam",264,"SAR","7.2"
"Lavona Hotel Dammam","Dammam",199,"SAR","7.9"
"Normina Hotel Suites","Dammam",280,"SAR","9.1"
"Braira Dammam Hotel","Dammam",551,"SAR","8.9"
"Howard Johnson Dammam Hotel","Dammam",333,"SAR","7.7"
"Aros Al Faisaliah Furnished Units","Dammam",224,"SAR","7.7"
"Watheer Hotel Suite","Dammam",275,"SAR","7.1"
"Naviti Warwick Dammam","Dammam",289,"SAR","7.8"
"Golden Garden Al Corniche","Dammam",199,"SAR","7.2"
"Tulip Inn Suites and Residence Dammam","Dammam",240,"SAR","6.3"
"Lavona Tiba Hotel","Dammam",216,"SAR","8.2"
"Ruoof Furnished Units Apartment","Dammam",171,"SAR","7.5"
"Sendan Residence","Dammam",270,"SAR","8.3"
"Park Inn by Radisson Dammam","Dammam",380,"SAR","8.1"
"Hona Al Holm Furnished Units","Dammam",139,"SAR","7.8"
"Borooj Alsalimiya Apartment Hotel","Dammam",270,"SAR","8.1"
"Ahla Amassi Furnished Units","Dammam",170,"SAR","7.6"
"Amwaj Alshatie Furnished Units","Dammam",290,"SAR","8.4"
"Ahla Makan","Dammam",200,"SAR","6.4"
"Watheer Hotel Suite","Dammam",275,"SAR","7.1"
"Blue Sands Al Bilsan Furnished Units","Dammam",180,"SAR","6.5"
"Suite blue","Dammam",470,"SAR","8.2"
"Natwan Furnished unites","Dammam",180,"SAR","7.2"
"Anan Suites","Dammam",250,"SAR","8.4"
"Mesas Gulf Hotel","Dammam",420,"SAR","8.6"
"Boudl Corniche","Dammam",490,"SAR","8.8"
"Gulf Crown For Residential Units","Dammam",500,"SAR","7.4"
"Wahaj Al Mesak Units","Dammam",199,"SAR","8.2"
"Crown East Apartment Hotel","Dammam",350,"SAR","6.9"
"Aloft Riyadh Hotel","Al Olaya, Riyadh",475,"SAR","8.2"
"Nourth House ApartHotel","Al Qurayyat",200,"SAR","7.5"
"Dyar Al Hamra Hotel","Al Hamra, Jeddah",340,"SAR","7.7"
"Courtyard by Marriott Riyadh Northern Ring Road","Riyadh",525,"SAR","8.1"
"Best Western Plus Buraidah","Buraydah",330,"SAR","8.0"
"Al Hayatt Plus","Central Madinah, Al Madinah",210,"SAR","6.9"
"Courtyard by Marriott Riyadh Olaya","Al Olaya, Riyadh",550,"SAR","8.3"
"Rose Park","Riyadh",600,"SAR","8.2"
"Grand Hyatt Alkhobar Hotel and Residences","Al Khobar",750,"SAR","8.7"
"Jabal Omar Marriott Hotel Makkah","Makkah",300,"SAR","7.8"
"Courtyard Riyadh by Marriott Diplomatic Quarter","Riyadh",490,"SAR","8.1"
"Gulanar Hotel","Unayzah",350,"SAR","8.5"
"Le Meridien Riyadh","Al Worood, Riyadh",800,"SAR","8.2"
"Novotel Riyadh Al Anoud","Al Olaya, Riyadh",360,"SAR","7.2"
"Centro Waha by Rotana","Riyadh",450,"SAR","7.5"
"Novotel Yanbu Albahr","Yanbu",480,"SAR","8.0"
"Four Points by Sheraton Makkah Al Naseem","Makkah",149,"SAR","8.5"
"Sharurah Plaza Hotel","Sharurah",200,"SAR","8.7"
"Coral Al Ahsa Hotel","Al Khars",350,"SAR","7.1"
"Ladera Hotel Tanomah","Tanomah",300,"SAR","7.2"
"Al Jahwah hotel by AL BALAD INN","Al Namas",250,"SAR","8.1"
"Qemam Al Safwah Grand Hotel","Rafha",135,"SAR","5.9"
"Rabigh Park Hotel","Rabigh",252,"SAR","8.0"
"Milan Hotel","Hajlah",285,"SAR","7.6"
"Al Rawda Al Aqeeq Hotel","Central Madinah, Al Madinah",130,"SAR","7.2"
"Jawharat Al Amaken Hotel","",230,"SAR","8.7"
"Crystal Blue Hotel","Rabigh",350,"SAR","7.1"
"Faifa Hotel","",375,"SAR","7.0"
"Anwar Al Zahraa Hotel","Central Madinah, Al Madinah",100,"SAR","7.3"
"Golden Dakhil","",100,"SAR","7.3"
"Taleen AlAqiq hotel apartments","Riyadh",230,"SAR","6.8"
"REVERA RESORT","Al Barkah",850,"SAR","8.3"
"Raghdan Village","",297,"SAR","5.9"
"Ramada Encore Al Khobar Olaya","Al Olayya, Al Khobar",319,"SAR","7.5"
"Touq Balad","Jeddah",175,"SAR","8.4"
"Address Sharurah Hotel","Sharurah",200,"SAR","8.1"
"Al Madinah Concorde Hotel","Central Madinah, Al Madinah",137,"SAR","6.8"
"Marina House","Al Olayya, Al Khobar",86,"SAR","5.0"
"Shahad Al Taif","Taif",144,"SAR","7.4"
"Business Inn Tahlia Hotel","Al Sulimania, Riyadh",237,"SAR","6.6"
"Mirage Al Salam Hotel","Central Madinah, Al Madinah",125,"SAR","7.2"
"Rihan Tibah Furnished Units","",99,"SAR","5.4"
"Al Rose Al Motamaiza Furnished Apartment","Sari Street, Jeddah",185,"SAR","7.3"
"Al Muhaidb Residence Al Khobar","Al Khobar",255,"SAR","6.8"
"Diamond Elite hotel","Jeddah",225,"SAR","8.4"
"Swiss EYE","Al Hamra, Jeddah",219,"SAR","7.6"
"Al Hamra Palace ApartHotel Falastin","Al Hamra, Jeddah",170,"SAR","6.7"
"Ebreez Hotel","Al Hamra, Jeddah",200,"SAR","7.5"
"Hawadah Hotel","Al Hamra, Jeddah",230,"SAR","7.3"
"Durrat Hira ApartHotel","Hera Street, Jeddah",163,"SAR","8.1"
"Acacia Aparthotel","Al Salamah, Jeddah",144,"SAR","7.4"
"Danat Park Hotel","Yanbu",140,"SAR","6.5"
"Rose Diamond Hotel","Al Madinah",100,"SAR","6.7"
"Makarim Palm Hotel","Rabigh",160,"SAR","6.8"
"Al Qibla Hotel","Central Madinah, Al Madinah",285,"SAR","6.3"
"Orchida Al Hamra","Riyadh",111,"SAR","5.8"
"Baisan Suites Al Jubail","Al Jubail",210,"SAR","7.0"
"Afaq Jeddah","Jeddah",162,"SAR","6.8"
"Naviti Warwick Al Khobar","Al Khobar",309,"SAR","7.6"
"Bhadur Resort Jeddah","Obhor",600,"SAR","5.7"
"Almuhaidb Residence Al Jubail","Al Jubail",250,"SAR","7.7"
"Royal El Naser Hotel","Al Khobar",150,"SAR","5.3"
"Crown Rose Hotel","Riyadh",360,"SAR","7.8"
"Genac Hotel Yanbu","Yanbu",100,"SAR","7.1"
"Loalat Al Rowdah Family","Al Rawda, Jeddah",210,"SAR","7.8"
"Mena Andalusia Riyadh","Al Olaya, Riyadh",213,"SAR","7.2"
"Golden Abha","Abha",74,"SAR","5.5"
"Iris Boutique Taif Heart","Taif",297,"SAR","8.6"
"Raihat Al Bustan Furnished Units","",180,"SAR","6.4"
"Rawabi Al Khobar Hotel","Al Khobar",275,"SAR","7.4"
"Danat Park Hotel","Yanbu",140,"SAR","6.5"
"Rose Diamond Hotel","Al Madinah",100,"SAR","6.7"
"Makarim Palm Hotel","Rabigh",160,"SAR","6.8"
