name,city,Condo_hotel,review_badge,review_titel,review_number,cc,price,Duration,persons,stars,taxes,Favorite_partner,type_hotels
NASEEM, RiyadhShow,null,3.9,Reviewscore,7reviews,null,SAR 36,2 nights, 1 adult,null, includes taxes and charges ,PromotedThis property spends a little extra to promote their visibility on our site. It matches your search criteria and is a great option for you.,null
BATHA, RiyadhShow,null,4.2,Reviewscore,13reviews,null,SAR 36,2 nights, 1 adult,null, includes taxes and charges ,PromotedThis property spends a little extra to promote their visibility on our site. It matches your search criteria and is a great option for you.,null
Nzha," Al Olayya, Al KhobarShow",Condo Hotel,5.4,Reviewscore,72reviews,null,SAR 38,2 nights, 1 adult,null, +SAR2 taxes and charges  ,PromotedThis property spends a little extra to promote their visibility on our site. It matches your search criteria and is a great option for you.,Condo Hotel
Flower, DammamShow,Condo Hotel,None,Reviewscore,49reviews,null,SAR 38,2 nights, 1 adult,null, includes taxes and charges ,PromotedThis property spends a little extra to promote their visibility on our site. It matches your search criteria and is a great option for you.,Condo Hotel
Yamamah," Al Yamamah, RiyadhShow",Condo Hotel,None,Reviewscore,5reviews,null,SAR 38,2 nights, 1 adult,null, +SAR4 taxes and charges  ,PromotedThis property spends a little extra to promote their visibility on our site. It matches your search criteria and is a great option for you.,Condo Hotel
Khaleej, DammamShow,Condo Hotel,None,Reviewscore,7reviews,null,SAR 38,2 nights, 1 adult,null, +SAR2 taxes and charges  ,PromotedThis property spends a little extra to promote their visibility on our site. It matches your search criteria and is a great option for you.,Condo Hotel
Ronama Chalets and Apartments, Al MajaridahShow,Condo Hotel,4.2,Reviewscore,26reviews,null,SAR 38,2 nights, 1 adult,null, includes taxes and charges ,,Condo Hotel
ALthuqbah 2 Males only, DhahranShow,Condo Hotel,4.3,Reviewscore,12reviews,null,SAR 38,2 nights, 1 adult,null, +SAR2 taxes and charges  ,PromotedThis property spends a little extra to promote their visibility on our site. It matches your search criteria and is a great option for you.,Condo Hotel
Sunset fog, DammamShow,null,5.4,Reviewscore,6reviews,null,SAR 40,2 nights, 1 adult,null, includes taxes and charges ,PromotedThis property spends a little extra to promote their visibility on our site. It matches your search criteria and is a great option for you.,null
REEMAL, RiyadhShow,Chalets,5.6,Reviewscore,51reviews,null,SAR 40,2 nights, 1 adult,null, includes taxes and charges ,PromotedThis property spends a little extra to promote their visibility on our site. It matches your search criteria and is a great option for you.,Chalets
Adamah, DammamShow,Condo Hotel,5.8,Reviewscore,14reviews,null,SAR 48,2 nights, 1 adult,null, +SAR2 taxes and charges  ,PromotedThis property spends a little extra to promote their visibility on our site. It matches your search criteria and is a great option for you.,Condo Hotel
‏Al Marqab (Males Only), RiyadhShow,Condo Hotel,3.4,Reviewscore,88reviews,null,SAR 50,2 nights, 1 adult,null, +SAR0 taxes and charges  ,PromotedThis property spends a little extra to promote their visibility on our site. It matches your search criteria and is a great option for you.,Condo Hotel
فندق قصر الحياة, MeccaShow,null,5.7,Reviewscore,54reviews,null,SAR 56,2 nights, 1 adult,4-star, includes taxes and charges ,null,null
Al Batha2, RiyadhShow,null,4.0,Reviewscore,7reviews,null,SAR 58,2 nights, 1 adult,null, +SAR3 taxes and charges  ,PromotedThis property spends a little extra to promote their visibility on our site. It matches your search criteria and is a great option for you.,null
Rose, DammamShow,Condo Hotel,5.6,Good,229reviews,null,SAR 74,2 nights, 1 adult,null, includes taxes and charges ,PromotedThis property spends a little extra to promote their visibility on our site. It matches your search criteria and is a great option for you.,Condo Hotel
Althuqbah, Al KhobarShow,Condo Hotel,None,Reviewscore,388reviews,null,SAR 74,2 nights, 1 adult,null, +SAR4 taxes and charges  ,PromotedThis property spends a little extra to promote their visibility on our site. It matches your search criteria and is a great option for you.,Condo Hotel
The Pacific River, DammamShow,Condo Hotel,None,Reviewscore,355reviews,null,SAR 74,2 nights, 1 adult,null, +SAR4 taxes and charges  ,PromotedThis property spends a little extra to promote their visibility on our site. It matches your search criteria and is a great option for you.,Condo Hotel
Ruba Al Hijaz Hotel, MeccaShow,null,None,Reviewscore,546reviews,null,SAR 76,2 nights, 1 adult,3-star, +SAR6 taxes and charges  ,null,null
