"name","location","price","currency","rating","room_type","beds","breakfast","free_cancellation","no_prepayment"
"NASEEM","Riyadh","86.04","SAR","3.9","N/A","N/A","false","false","false"
"BATHA","Riyadh","86.04","SAR","4.2","N/A","N/A","false","false","false"
"Nzha","Al Olayya, Al Khobar","90.82","SAR","5.4","N/A","N/A","false","false","false"
"Flower","Dammam","90.82","SAR","5.0","N/A","N/A","false","false","false"
"Yamamah","Al Yamamah, Riyadh","90.82","SAR","5.0","N/A","N/A","false","false","false"
"Khaleej","Dammam","90.82","SAR","5.0","N/A","N/A","false","false","false"
"Ronama Chalets and Apartments","Al Majaridah","90.82","SAR","4.2","N/A","N/A","false","false","false"
"Sunset fog","Dammam","95.6","SAR","5.4","N/A","N/A","false","false","false"
"REEMAL","Riyadh","95.6","SAR","5.6","N/A","N/A","false","false","false"
"Adamah","Dammam","114.72","SAR","5.8","N/A","N/A","false","false","false"
"Rose","Dammam","176.86","SAR","5.6","N/A","N/A","false","false","false"
"Althuqbah","Al Khobar","176.86","SAR","5.0","N/A","N/A","false","false","false"
"The Pacific River","Dammam","176.86","SAR","5.0","N/A","N/A","false","false","false"
"Ruba Al Hijaz Hotel","Mecca","181.64","SAR","5.0","N/A","N/A","false","false","false"
"Masat Al Mohand Al Rouda","Mecca","191.2","SAR","5.0","N/A","N/A","false","false","false"
"Zahrat Al Yassir Hotel","Mecca","239","SAR","5.0","N/A","N/A","false","false","false"
"Hidayah Al Yaser","Mecca","239","SAR","5.5","N/A","N/A","false","false","false"
"Masaya Furnished Apartments","Al Olayya, Al Khobar","241.39","SAR","5.0","N/A","N/A","false","false","false"
"Jazli Hotel Suites","Jeddah","253.34","SAR","7.0","N/A","N/A","false","false","false"
"Helm Jeddah Hotel Apartments","Jeddah","262.9","SAR","5.6","N/A","N/A","false","false","false"
"Danat Apartments","Al Olayya, Al Khobar","286.8","SAR","5.8","N/A","N/A","false","false","false"
"The Blue Bow","Mecca","286.8","SAR","5.6","N/A","N/A","false","false","false"
"Al Qimah Apartments","Dammam","296.36","SAR","5.0","N/A","N/A","false","false","false"
"Amwaj Al Corniche Hotel Suites","Al Khobar","310.7","SAR","6.5","N/A","N/A","false","false","false"
"Wardah Al Khobar Apartment","Al Aqrabeyah, Al Khobar","329.82","SAR","5.6","N/A","N/A","false","false","false"
