Hotel Name,Location,Price,Rating,Review Count,Room Type,Bed Info,Free Cancellation,Private Bathroom,No Prepayment,Breakfast Included
Karim Hotel Riyadh,Riyadh,AUD 290,"Scored 8.58.5Very good2,550 reviews",Scored 8.5,N/A,N/A,YES,NO,YES,YES
فندق سدو بوتيك Hotel SDU BOUTIQUE,Al Madinah,AUD 211,Scored 8.78.7Fabulous64 reviews,Scored 8.7,N/A,N/A,YES,NO,YES,NO
Andalus Habitat Hotel,"Al Andalus, Jeddah",AUD 226,"Scored 7.67.6Good2,550 reviews",Scored 7.6,1 bathroom,N/A,YES,NO,YES,YES
NARS Plus Al Nuzha,Jeddah,AUD 327,Scored 9.19.1Superb318 reviews,Scored 9.1,1 bathroom,1 bedroom,YES,NO,YES,NO
NARS Plus Al Basateen,Jeddah,AUD 327,Scored 8.78.7Fabulous255 reviews,Scored 8.7,1 bathroom,1 bedroom,YES,NO,YES,NO
فندق كروان جده,As Salamah,AUD 123,Scored 8.38.3Very good84 reviews,Scored 8.3,N/A,N/A,YES,NO,YES,NO
Aman Suites Hotel - ALmhalh,Abha,AUD 353,Scored 9.09.0Superb975 reviews,Scored 9.0,N/A,N/A,NO,NO,NO,NO
the land Villas,Riyadh,AUD 862,Scored 8.58.5Very good11 reviews,Scored 8.5,2 bathrooms,1 bedroom,YES,NO,NO,NO
Amber Hospitality - Al Qairawan,Riyadh,AUD 461,Scored 9.59.5Exceptional350 reviews,Scored 9.5,3 bathrooms,3 bedrooms,YES,NO,NO,NO
Al Ayniah Hotel,Al Madinah,AUD 73,"Scored 8.18.1Very good2,660 reviews",Scored 8.1,N/A,N/A,YES,NO,YES,NO
Sunshine Suite in AlMalqa district,Riyadh,AUD 142,Scored 9.79.7Exceptional3 reviews,Scored 9.7,1 bathroom,1 bedroom,YES,NO,YES,NO
فندق وريف الشرق,Sarat Abidah,AUD 154,Scored 8.78.7Fabulous47 reviews,Scored 8.7,N/A,N/A,YES,NO,YES,NO
B-LBAIT Yanbu Villa Garden,Madīnat Yanbu‘ aş Şinā‘īyah,AUD 552,Scored 9.89.8Exceptional38 reviews,Scored 9.8,3 bathrooms,2 bedrooms,NO,NO,NO,NO
شقق البندقية للوحدات الفندقية ALBUNDUQI HOTEl,"Al Hamra, Riyadh",AUD 175,Scored 8.18.1Very good161 reviews,Scored 8.1,N/A,N/A,YES,NO,YES,NO
Skoop Hotel Jeddah,Jeddah,AUD 985,Scored 7.67.6Good111 reviews,Scored 7.6,N/A,N/A,YES,NO,NO,NO
Al Kiram Hotel Al Azizia,Makkah,AUD 75,Scored 7.47.4Good817 reviews,Scored 7.4,N/A,N/A,YES,NO,YES,NO
Nars Plus Al Naeem Hotel,Jeddah,AUD 288,Scored 8.98.9Fabulous30 reviews,Scored 8.9,N/A,N/A,YES,NO,YES,NO
فيوليت إيليت للشقق المخدومة,Jeddah,AUD 124,Scored 1010Exceptional3 reviews,Scored 10,1 bathroom,1 bedroom,YES,NO,YES,NO
فندق ارجان بارك Arjan Park Hotel,Wadi Al Dawasir,AUD 201,Scored 8.98.9Fabulous460 reviews,Scored 8.9,N/A,N/A,YES,NO,YES,YES
